country,cluster_name,transition_score,y_pred,residual,access_electricity_pct,renewable_share_pct,log_gdp,energy_intensity_mj_gdp,log_energy,gdp_growth_pct,acc_2000,lc_2000
Turkmenistan,Emergentes fósiles,45.01,46.834,-1.824,99.9,0.06,8.938,12.87,10.968,6.3,99.6,0.0
Uganda,Pobreza energética,63.45,55.347,8.103,41.3,90.22,6.684,9.98,6.7,6.439,7.351,97.484
Ukraine,Transición renovable,70.4,67.547,2.853,100.0,7.44,8.206,6.95,9.983,3.2,100.0,51.743
United Arab Emirates,Desarrollados alto consumo,52.52,52.993,-0.473,100.0,0.67,10.662,3.36,11.812,3.412,100.0,0.0
United Kingdom,Desarrollados alto consumo,75.95,73.586,2.364,100.0,12.24,10.671,2.3,10.401,1.672,100.0,25.386
United States,Desarrollados alto consumo,69.71,74.015,-4.305,100.0,10.42,11.086,4.51,11.283,2.161,100.0,29.058
Uruguay,Transición renovable,87.73,86.134,1.596,99.9,60.76,9.781,2.77,9.903,0.35,97.677,93.458
Uzbekistan,Emergentes fósiles,44.71,47.931,-3.221,100.0,1.57,7.487,8.37,9.694,5.71,99.593,13.129
Vanuatu,Pobreza energética,44.09,38.632,5.458,64.59,31.86,8.045,3.53,8.057,3.913,22.143,0.0
Zambia,Pobreza energética,60.36,57.199,3.161,43.0,84.5,7.175,7.09,8.001,1.441,16.7,99.098
Zimbabwe,Pobreza energética,47.82,45.446,2.374,46.781,81.5,7.184,10.47,8.008,-6.144,33.655,51.039
