country,access_electricity_pct,low_carbon_elec_pct,gdp_per_capita_usd,transition_score,clean_access_ratio,fossil_lock_in,score_2000,score_2019,score_change,improvement_rate,cluster,cluster_name
Maldives,100.0,4.6875,10561.61351,48.32,4.69,53.66,35.81,48.32,12.51,0.658,0,Emergentes fósiles
Mali,47.836277,35.240963,879.0431873,37.55,16.86,50.47,34.86,37.55,2.69,0.142,3,Pobreza energética
Malta,100.0,10.144928,30186.19596,54.53,10.14,45.81,46.17,54.53,8.36,0.44,1,Desarrollados alto consumo
Mauritania,45.830032,25.274725,1743.302901,34.9,11.58,50.54,17.89,34.9,17.01,0.895,3,Pobreza energética
Mauritius,100.0,19.093851,11097.16898,54.98,19.09,46.02,49.88,54.98,5.1,0.268,0,Emergentes fósiles
Mexico,99.6,21.969315,9950.45008,55.77,21.88,46.73,56.36,55.77,-0.59,-0.031,0,Emergentes fósiles
Mongolia,97.22991,9.954058,4404.84583,46.74,9.68,61.64,25.32,46.74,21.42,1.127,0,Emergentes fósiles
Montenegro,100.0,56.26822,8910.650834,70.93,56.27,32.22,,,,,2,Transición renovable
Morocco,99.6,19.009504,3235.00066,50.42,18.93,51.78,32.55,50.42,17.87,0.941,0,Emergentes fósiles
Mozambique,29.67445,80.49172,506.6416391,50.49,23.89,45.01,50.41,50.49,0.08,0.004,3,Pobreza energética
Myanmar,68.35853,46.144123,1271.111575,49.92,31.54,42.67,32.84,49.92,17.08,0.899,3,Pobreza energética
Namibia,55.17709,97.05882,5009.685904,73.78,53.55,15.73,65.26,73.78,8.52,0.448,2,Transición renovable
Nauru,100.0,0.0,11029.73558,46.37,0.0,59.95,42.33,46.37,4.04,0.213,0,Emergentes fósiles
Nepal,89.9,100.0,1194.956876,80.4,89.9,21.61,54.67,80.4,25.73,1.354,2,Transición renovable
Netherlands,100.0,22.104479,52476.27325,61.89,22.1,41.9,52.93,61.89,8.96,0.472,1,Desarrollados alto consumo
New Caledonia,100.0,17.197453,34788.52928,58.21,17.2,46.55,60.61,58.21,-2.4,-0.126,1,Desarrollados alto consumo
New Zealand,100.0,82.10454,42755.21626,88.16,82.1,17.24,79.54,88.16,8.62,0.454,1,Desarrollados alto consumo
Nicaragua,88.05833,51.5625,1926.699694,59.76,45.41,41.04,38.95,59.76,20.81,1.095,2,Transición renovable
Niger,18.974571,8.196721,554.0993893,15.07,1.56,64.68,3.97,15.07,11.1,0.584,3,Pobreza energética
Nigeria,55.4,26.824644,2229.858652,39.35,14.86,54.86,36.84,39.35,2.51,0.132,3,Pobreza energética
North Macedonia,100.0,22.82794,6070.388054,54.51,22.83,48.35,47.75,54.51,6.76,0.356,0,Emergentes fósiles
Norway,100.0,97.93769,75719.7529,97.32,97.94,7.23,95.7,97.32,1.62,0.085,1,Desarrollados alto consumo
Oman,100.0,0.055478502,17700.70349,48.08,0.06,62.52,45.48,48.08,2.6,0.137,0,Emergentes fósiles
Pakistan,74.12769,36.455193,1288.556325,47.34,27.02,48.83,39.82,47.34,7.52,0.396,2,Transición renovable
Panama,95.81633,60.057747,15774.25494,73.42,57.55,25.51,69.36,73.42,4.06,0.214,2,Transición renovable
Papua New Guinea,59.662975,28.828829,2820.306397,42.37,17.2,51.27,28.95,42.37,13.42,0.706,3,Pobreza energética
Paraguay,99.7,99.857315,5380.963322,88.65,99.56,14.03,81.43,88.65,7.22,0.38,2,Transición renovable
Peru,95.55136,60.827293,7027.612207,70.8,58.12,29.4,68.95,70.8,1.85,0.097,2,Transición renovable
Philippines,95.64508,21.47436,3485.340844,50.61,20.54,49.26,50.41,50.61,0.2,0.011,0,Emergentes fósiles
Poland,100.0,15.615801,15732.20313,54.67,15.62,48.93,43.9,54.67,10.77,0.567,0,Emergentes fósiles
Portugal,100.0,52.986664,23330.81729,72.89,52.99,29.39,59.87,72.89,13.02,0.685,2,Transición renovable
Puerto Rico,100.0,2.6651216,32850.54861,51.47,2.67,47.59,48.05,51.47,3.42,0.18,0,Emergentes fósiles
Qatar,100.0,0.06381621,62276.42869,52.58,0.06,58.12,49.94,52.58,2.64,0.139,1,Desarrollados alto consumo
Romania,100.0,60.679283,12899.34611,74.23,60.68,27.33,57.27,74.23,16.96,0.893,2,Transición renovable
Rwanda,40.368607,46.078434,820.1492886,39.93,18.6,44.61,49.86,39.93,-9.93,-0.523,3,Pobreza energética
Saint Kitts and Nevis,100.0,4.5454545,,44.55,4.55,,41.08,44.55,3.47,0.183,0,Emergentes fósiles
Saint Lucia,99.50218,0.0,,42.35,0.0,,39.32,42.35,3.03,0.159,0,Emergentes fósiles
Saint Vincent and the Grenadines,100.0,14.285714,,48.93,14.29,,51.46,48.93,-2.53,-0.133,0,Emergentes fósiles
Samoa,99.2,40.0,4322.868457,60.78,39.68,43.5,58.2,60.78,2.58,0.136,2,Transición renovable
Sao Tome and Principe,74.9672,11.111111,1987.579702,37.74,8.33,56.96,43.37,37.74,-5.63,-0.296,3,Pobreza energética
Saudi Arabia,100.0,0.062602475,23139.79798,49.04,0.06,58.75,45.71,49.04,3.33,0.175,0,Emergentes fósiles
Senegal,70.4,13.926498,1430.148259,36.46,9.8,57.0,18.94,36.46,17.52,0.922,3,Pobreza energética
Serbia,99.8,28.513292,7417.203649,57.72,28.46,48.22,,,,,0,Emergentes fósiles
Seychelles,100.0,7.54717,16213.48076,51.14,7.55,51.86,43.26,51.14,7.88,0.415,0,Emergentes fósiles
Sierra Leone,22.7,90.4762,521.7548367,53.0,20.54,28.57,8.72,53.0,44.28,2.331,3,Pobreza energética
Singapore,100.0,1.5075376,65640.70795,53.42,1.51,49.65,49.12,53.42,4.3,0.226,1,Desarrollados alto consumo
Slovakia,100.0,77.79354,,77.51,77.79,,73.35,77.51,4.16,0.219,2,Transición renovable
Slovenia,100.0,68.34487,25942.95477,80.18,68.34,23.92,74.72,80.18,5.46,0.287,2,Transición renovable
Solomon Islands,69.80942,0.0,2344.048976,31.78,0.0,62.94,9.21,31.78,22.57,1.188,3,Pobreza energética
